vcenter_host_scope,datastore,status,deleted_vmdk_count,deleted_size_gb,remaining_vmdk_count,remaining_size_gb,validations,baseline_job_id,verification_job_id,created_at,updated_at
s2000.ms,STA_LUN_13,datastore_removed,1,0.022,0,0.0,1,d50fbce4-1647-4f2e-8f3c-ee8f09b1933b,ff85ecd8-4fd3-4b20-9662-a3c58e334f7d,2026-03-16 12:21:21,2026-03-16 12:21:21
s2001.ms,STB_LUN_07,datastore_removed,1,0.001,0,0.0,2,45c71636-d2f1-43f9-8345-f6fc99515f1f,841da1ba-f027-48e8-b118-af09cad19a9f,2026-04-08 15:09:19,2026-04-08 15:09:19
s1589.ms,DE800192700033-01-01-service-datastore1,no_cleanup,0,0.0,7,3.821,1,d3a70e23-9f37-4eb0-a5d5-8ce22724b20f,77093409-b853-4f08-bd17-59dcb8b11a73,2026-03-26 11:45:06,2026-03-26 11:45:06
s1589.ms,VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689,no_cleanup,0,0.0,21,11356.852,7,d3a70e23-9f37-4eb0-a5d5-8ce22724b20f,86631208-c8f7-441b-8e23-232cb815b4b2,2026-03-26 11:44:40,2026-03-26 11:44:40
s2000.ms,STB_LUN_01,no_cleanup,0,0.0,0,0.0,2,45db7c30-e273-4305-9790-7c85a0284418,7246791c-ad6b-4672-b104-11ddc8826496,2026-05-27 13:23:51,2026-05-27 13:23:51
s2001.ms,STA_LUN_01,datastore_removed,0,0.0,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,7a7b5d4b-bf4a-473b-9af9-c529a2acc504,2026-06-01 19:25:56,2026-06-01 19:25:56
s2001.ms,STA_LUN_03,no_cleanup,0,0.0,0,0.0,2,12e4c594-fdfa-44a9-91d5-e8577c2c19d0,a7878e16-0931-4beb-a90c-77f5b40cdffa,2026-03-10 12:06:18,2026-03-10 12:06:18
s2001.ms,STA_LUN_16,datastore_removed,0,0.0,0,0.0,1,59cc436b-7b8f-4255-8002-0047fdd9e9f8,995fb00b-8b1c-42b8-a543-38dada8df80c,2026-03-19 13:22:09,2026-03-19 13:22:09
s2001.ms,STA_LUN_17,datastore_removed,0,0.0,0,0.0,2,e20a7104-7e72-4a93-9594-6917dd2863b5,56607efd-a70f-4373-a410-8945f4d74e8b,2026-03-23 12:42:41,2026-03-23 12:42:41
s2001.ms,STA_LUN_TEMP,datastore_removed,0,0.0,0,0.0,1,e20a7104-7e72-4a93-9594-6917dd2863b5,a2cd687c-4177-4727-8aa2-80a1dd2ca5c3,2026-03-24 11:49:59,2026-03-24 11:49:59
s2001.ms,STC_LUN_02,datastore_removed,0,0.0,0,0.0,3,5e09ef45-e47c-4292-b5c0-7d4fc81c677a,3b3e0a2d-9a95-45dc-98ad-d1008a6e69c1,2026-05-20 14:41:53,2026-05-20 14:41:53
s2001.ms,STD_LUN_03,no_cleanup,0,0.0,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,d3ce9bc5-1d21-40c9-9b03-a82ef863d570,2026-06-01 19:43:39,2026-06-01 19:43:39
s2001.ms,STD_LUN_05,no_cleanup,0,0.0,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,623fd082-0836-4e86-b544-919b2ca70383,2026-06-01 18:35:29,2026-06-01 18:35:29
s2001.ms,STD_LUN_06,no_cleanup,0,0.0,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,61984fcc-1db1-49d3-9250-e35fc7f76afe,2026-06-01 18:37:19,2026-06-01 18:37:19
s2001.ms,STD_LUN_08,no_cleanup,0,0.0,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,f8515740-2212-415c-937e-752e37680474,2026-06-01 18:41:48,2026-06-01 18:41:48
