id,vcenter_host_scope,datastore,status,deleted_vmdk_count,deleted_size_gb,remaining_vmdk_count,remaining_size_gb,baseline_job_id,verification_job_id,created_at,updated_at
32,s1589.ms,DE800192700033-01-01-service-datastore1,no_cleanup,0,0.0,7,3.821,d3a70e23-9f37-4eb0-a5d5-8ce22724b20f,77093409-b853-4f08-bd17-59dcb8b11a73,2026-03-26 11:45:06,2026-03-26 11:45:06
33,s2001.ms,STB_LUN_02,partial_cleanup,2,1024.001,0,0.0,35e3429b-01a5-4b68-9550-1bae9949d27b,e2a47f1f-0880-419a-99f9-a503d97c26c8,2026-03-27 12:33:31,2026-03-27 12:33:31
34,s2001.ms,STB_LUN_03,datastore_removed,9,2810.851,0,0.0,35e3429b-01a5-4b68-9550-1bae9949d27b,190f674b-688c-4928-a749-5cb8b66f19c2,2026-03-27 12:34:44,2026-03-27 12:34:44
35,s2001.ms,STB_LUN_04,datastore_removed,29,931.534,0,0.0,35e3429b-01a5-4b68-9550-1bae9949d27b,54b2162c-eb47-409d-ad3c-bd6209a06f2e,2026-03-27 12:35:41,2026-03-27 12:35:41
36,s2001.ms,STB_LUN_05,datastore_removed,6,518.244,0,0.0,35e3429b-01a5-4b68-9550-1bae9949d27b,01a97899-4a22-4c38-ac33-4ce2303434c8,2026-03-27 12:36:38,2026-03-27 12:36:38
37,s2001.ms,STB_LUN_03,datastore_removed,9,2810.851,0,0.0,35e3429b-01a5-4b68-9550-1bae9949d27b,da09a8b9-7165-4d68-8cc4-c33d5828b38c,2026-04-07 00:07:07,2026-04-07 00:07:07
38,s2001.ms,STB_LUN_09,datastore_removed,3,130.001,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,c6d1da8b-2cd8-4b97-bd67-2f3ad3bda2b8,2026-04-07 12:05:17,2026-04-07 12:05:17
39,s2001.ms,STB_LUN_10,datastore_removed,8,341.081,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,53fa296f-2c61-46e9-b52f-17ac302aa9f5,2026-04-08 12:41:22,2026-04-08 12:41:22
40,s2001.ms,STB_LUN_07,datastore_removed,1,0.001,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,baa50010-553b-4308-8398-a39241c65d5a,2026-04-08 12:44:42,2026-04-08 12:44:42
41,s2001.ms,STB_LUN_06,datastore_removed,2,3.041,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,f2f5b803-32f1-4d60-a2fb-468231341357,2026-04-08 12:45:41,2026-04-08 12:45:41
42,s2001.ms,STB_LUN_10,datastore_removed,8,341.081,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,850a2769-0830-4995-b1a1-de0ae7fecf2f,2026-04-08 15:02:39,2026-04-08 15:02:39
43,s2001.ms,STB_LUN_09,datastore_removed,3,130.001,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,b38ccf2b-71e5-4686-827b-86e7cb0931ab,2026-04-08 15:08:12,2026-04-08 15:08:12
44,s2001.ms,STB_LUN_07,datastore_removed,1,0.001,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,841da1ba-f027-48e8-b118-af09cad19a9f,2026-04-08 15:09:19,2026-04-08 15:09:19
45,s2001.ms,STB_LUN_06,datastore_removed,2,3.041,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,b050b7f2-7051-4237-9c9d-da2a8c64e23e,2026-04-08 15:11:39,2026-04-08 15:11:39
46,s2001.ms,STB_LUN_10,datastore_removed,8,341.081,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,0be988ba-45d2-4062-bbef-5552a3ea9c51,2026-04-08 15:14:20,2026-04-08 15:14:20
47,s2001.ms,STB_LUN_08,datastore_removed,3,200.001,0,0.0,30f81eea-91f8-4748-ab47-23d5f97b50bf,e4450151-3708-4741-beb3-347610ce5f4a,2026-04-08 19:41:33,2026-04-08 19:41:33
48,s2000.ms,STB_LUN_01,datastore_removed,10,1523.196,0,0.0,45c71636-d2f1-43f9-8345-f6fc99515f1f,f40adcba-7493-4225-b131-4da587b4c8fc,2026-04-13 13:00:59,2026-04-13 13:00:59
49,s2001.ms,STC_LUN_02,no_cleanup,0,0.0,0,0.0,60f9c455-1957-4f75-a021-15fc81cc6c04,5e09ef45-e47c-4292-b5c0-7d4fc81c677a,2026-05-18 12:05:30,2026-05-18 12:05:30
50,s2001.ms,STC_LUN_02,datastore_removed,0,0.0,0,0.0,5e09ef45-e47c-4292-b5c0-7d4fc81c677a,4e1962c8-47f7-4508-a11a-14b88e541a2f,2026-05-18 12:06:43,2026-05-18 12:06:43
51,s2001.ms,STC_LUN_02,datastore_removed,0,0.0,0,0.0,5e09ef45-e47c-4292-b5c0-7d4fc81c677a,3b3e0a2d-9a95-45dc-98ad-d1008a6e69c1,2026-05-20 14:41:53,2026-05-20 14:41:53
